initial_infected,10,10,10,10,10,10
Rt,1.1,1.1,1.5,1.5,2,2
days_to_incubation,5,5,5,5,5,5
time_to_recovery,14,14,14,14,14,14
pct_advancing_to_symptoms,30,30,30,30,30,30
symptom_case_fatality_ratio,5.00E-04,5.00E-04,5.00E-04,5.00E-04,5.00E-04,5.00E-04
frequency_of_screening,99999,7,99999,7,99999,7
wastewater_sampling,1,0,1,0,1,0
frequency_wastewater_samples,3,3,3,3,3,3
frac_wastewater,0.55,0.55,0.55,0.55,0.55,0.55
lag_screening_wastewater,1,1,1,1,1,1
frequency_of_screening_wastewater,4,4,4,4,4,4
threshold_wastewater,2,2,2,2,2,2
building_size,750,750,750,750,750,750
exogenous_shocks,1,1,1,1,1,1
frequency_exogenous_shocks,7,7,7,7,5,5
new_infections_per_shock,15,15,20,20,30,30
test_sensitivity,0.7,0.7,0.7,0.7,0.7,0.7
test_specificity,0.98,0.98,0.98,0.98,0.98,0.98
test_cost,25,25,25,25,25,25
time_to_return_fps,1,1,1,1,1,1
confirmatory_test_cost,100,100,100,100,100,100
population_size,12500,12500,12500,12500,12500,12500
frac_noncompliance,0.01,0.01,0.05,0.05,0.1,0.1
